Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
124,6912.54,4021.50,22.25,0,47,0.24,LOS,92.71,3.93,-76.42,0.69,55.36,0,54,-78.95,41,-87.35,40,-100.71,48,-103.40,34,-107.77
125,6927.92,4021.50,22.25,0,47,0.24,LOS,92.48,3.93,-76.19,0.90,55.36,0,54,-78.82,41,-87.93,40,-100.86,48,-103.18,34,-107.97
126,6943.29,4021.50,22.25,0,47,0.25,LOS,92.26,-4.62,-67.42,11.77,55.36,0,54,-84.31,41,-90.25,42,-97.17,48,-99.94,46,-104.48
127,6944.33,4021.50,22.25,2,47,0.25,LOS,92.24,-4.62,-67.40,11.78,55.36,0,54,-84.30,41,-90.29,42,-97.18,48,-99.93,46,-104.47
128,6928.95,4021.50,22.25,2,47,0.24,LOS,92.47,-4.62,-67.63,11.50,55.36,0,54,-84.44,41,-89.73,42,-97.08,48,-100.13,34,-101.88
129,6913.57,4021.50,22.25,2,47,0.24,LOS,92.70,-2.19,-70.29,6.50,55.36,0,54,-78.30,41,-89.79,48,-94.16,40,-96.24,42,-114.97
130,6898.19,4021.50,22.25,2,47,0.23,LOS,92.93,-2.19,-70.52,6.31,55.36,0,54,-78.43,41,-89.20,48,-94.38,40,-96.10,42,-114.88
131,6882.82,4021.50,22.25,2,47,0.22,LOS,93.15,-0.81,-72.12,4.28,55.36,0,54,-78.87,40,-83.28,41,-89.66,42,-105.53,48,-109.39
132,6867.44,4021.50,22.25,2,47,0.22,LOS,93.38,-0.81,-72.35,4.05,55.36,0,54,-79.00,40,-83.14,41,-89.02,42,-105.44,48,-109.61
133,6852.06,4021.50,22.25,2,47,0.21,LOS,93.61,-4.00,-69.38,4.41,55.36,0,54,-75.65,41,-89.53,42,-104.34,48,-104.52,40,-106.35
134,6836.68,4021.50,22.25,2,47,0.20,LOS,93.83,-4.00,-69.61,4.21,55.36,0,54,-75.78,41,-88.84,42,-104.25,48,-104.75,40,-106.22
135,6821.30,4021.50,22.25,2,47,0.20,LOS,94.05,2.57,-76.40,-1.82,55.36,0,54,-78.29,41,-88.57,48,-98.87,40,-99.05,42,-99.08
136,6805.93,4021.50,22.25,2,47,0.19,LOS,94.27,2.57,-76.62,-2.08,55.36,0,35,-77.33,41,-87.83,40,-98.93,42,-99.01,48,-99.10
137,6790.55,4021.50,22.25,2,47,0.18,LOS,94.48,4.39,-78.66,-1.51,55.36,0,35,-82.09,41,-83.67,40,-90.92,48,-96.01,34,-103.13
138,6775.17,4021.50,22.25,2,47,0.18,LOS,94.70,4.39,-78.87,-1.91,55.36,0,35,-81.98,41,-82.87,40,-90.81,48,-96.25,34,-102.90
139,6759.79,4021.50,22.25,2,47,0.17,LOS,94.91,-1.73,-72.96,2.78,55.36,0,41,-79.56,35,-85.17,48,-94.92,40,-96.47,42,-100.72
140,6751.50,4021.50,22.25,1,47,0.17,LOS,95.02,-1.73,-73.07,2.49,0.00,0,41,-79.10,35,-85.11,48,-95.05,40,-96.41,42,-100.69
141,6751.50,4021.50,22.25,1,47,0.17,LOS,95.02,-1.73,-73.07,2.49,0.00,0,41,-79.10,35,-85.11,48,-95.05,40,-96.41,42,-100.69
142,6751.50,4021.50,22.25,1,47,0.17,LOS,95.02,-1.73,-73.07,2.49,0.00,0,41,-79.10,35,-85.11,48,-95.05,40,-96.41,42,-100.69
143,6751.50,4021.50,22.25,1,47,0.17,LOS,95.02,-1.73,-73.07,2.49,0.00,0,41,-79.10,35,-85.11,48,-95.05,40,-96.41,42,-100.69
144,6751.50,4021.50,22.25,1,47,0.17,LOS,95.02,-1.73,-73.07,2.49,0.00,0,41,-79.10,35,-85.11,48,-95.05,40,-96.41,42,-100.69
145,6751.50,4021.50,22.25,1,47,0.17,LOS,95.02,-1.73,-73.07,2.49,0.00,0,41,-79.10,35,-85.11,48,-95.05,40,-96.41,42,-100.69
146,6751.50,4021.50,22.25,1,47,0.17,LOS,95.02,-1.73,-73.07,2.49,0.00,0,41,-79.10,35,-85.11,48,-95.05,40,-96.41,42,-100.69
147,6751.50,4021.50,22.25,1,47,0.17,LOS,95.02,-1.73,-73.07,2.49,0.00,0,41,-79.10,35,-85.11,48,-95.05,40,-96.41,42,-100.69
