Step,UE_ID,x,y,direction,connected_bs,current_prx,sinr,speed,handover
2,67,1800.00,2509.42,1,83,-70.80,7.19,43.77,0
2,68,5673.44,3400.00,0,47,-102.75,-36.67,29.38,1
2,69,8063.01,8000.00,0,74,-93.67,-23.67,25.20,0
2,70,7938.06,5800.00,2,104,-67.59,-6.69,24.78,1
2,71,3000.00,5091.46,1,95,-69.31,-16.54,36.58,0
2,72,5600.00,6710.15,3,108,-67.00,-3.00,35.94,0
2,73,5600.00,2136.91,3,86,-61.91,10.41,25.23,0
2,74,2400.00,4264.51,1,89,-93.95,-32.79,25.80,0
2,75,3000.00,6314.52,1,20,-100.33,-51.36,45.81,0
2,76,6345.52,5800.00,2,103,-83.18,-34.48,21.79,0
2,77,8600.00,4697.70,1,99,-86.44,-12.47,39.08,0
2,78,5704.52,5200.00,0,97,-59.79,-5.98,41.81,0
2,79,8800.00,3141.42,3,76,-123.18,-57.60,23.43,0
2,80,5200.00,4879.32,1,97,-67.81,-4.59,31.73,0
2,81,4600.00,6132.08,3,102,-87.44,-18.46,27.17,0
2,82,7115.17,7200.00,2,109,-45.54,21.58,33.93,0
2,83,8718.37,6000.00,0,80,-95.96,-25.69,47.35,0
2,84,5654.60,6000.00,0,50,-102.01,-39.29,21.84,0
2,85,7200.00,7300.37,3,109,-43.50,21.32,39.85,0
2,86,6267.01,8000.00,0,59,-113.94,-39.59,26.80,0
2,87,6000.00,2535.78,1,86,-58.37,-0.73,54.31,0
2,88,6945.85,6600.00,0,58,-110.00,-46.57,58.34,0
2,89,4287.56,2000.00,0,30,-91.34,-24.23,35.02,0
2,90,7400.00,7898.71,1,67,-101.33,-34.37,39.48,0
2,91,6800.00,4744.24,1,56,-105.29,-30.94,57.70,1
2,92,4549.94,8000.00,2,37,-118.70,-49.96,20.02,0
2,93,3291.30,5200.00,2,95,-69.40,-7.98,43.48,0
2,94,7000.00,7051.84,3,109,-60.61,4.26,59.26,0
2,95,4276.74,3000.00,0,85,-47.50,6.61,30.69,0
2,96,2800.00,7324.52,3,106,-62.81,5.41,30.19,0
2,97,2292.42,3000.00,0,83,-91.95,-27.99,36.97,0
2,98,2293.95,4600.00,0,11,-96.82,-29.89,37.58,0
2,99,8800.00,2134.46,1,75,-105.03,-29.92,53.78,0
3,0,1533.06,8000.00,0,7,-96.19,-33.46,39.92,0
3,1,2577.52,5400.00,0,19,-94.67,-31.61,53.25,1
3,2,7200.00,4833.24,3,98,-65.42,-0.47,50.03,0
3,3,6430.24,3000.00,2,87,-84.70,-16.39,50.93,0
3,4,8400.00,4582.32,1,99,-58.28,14.13,54.70,0
3,5,8108.59,3400.00,0,69,-89.14,-20.42,32.58,0
3,6,4000.00,2960.12,1,85,-71.37,-2.08,48.04,0
3,7,4870.86,3400.00,0,91,-67.61,-4.18,21.26,0
3,8,4544.95,6200.00,0,102,-66.62,3.88,43.49,0
3,9,1200.00,3509.45,1,2,-112.58,-41.33,32.84,0
3,10,3260.37,6200.00,2,28,-96.34,-23.21,41.89,1
3,11,4656.13,2000.00,2,38,-121.08,-54.01,43.16,0
3,12,7400.00,5675.92,1,104,-75.78,-23.28,22.78,0
3,13,1800.00,5882.67,3,12,-95.50,-36.38,35.20,0
3,14,7200.00,4872.97,1,98,-81.43,-16.32,21.89,0
3,15,8400.00,4992.45,1,99,-83.55,-25.63,57.73,0
3,16,4400.00,2270.21,3,85,-74.06,-1.02,38.94,0
3,17,3275.74,4400.00,0,18,-105.35,-36.07,22.72,1
3,18,7331.34,3000.00,0,87,-73.29,-6.56,39.40,0
3,19,5069.93,6600.00,0,102,-76.02,-18.92,20.98,0
3,20,6248.52,7400.00,2,59,-109.52,-54.34,45.44,0
3,21,5000.00,3925.02,1,91,-37.84,23.35,37.51,0
3,22,1276.25,5800.00,0,4,-101.08,-32.54,22.87,0
3,23,5896.23,2000.00,0,45,-104.66,-35.62,28.87,0
3,24,5410.32,6600.00,2,43,-120.53,-56.74,56.90,0
3,25,1000.00,6843.63,3,6,-102.96,-22.86,46.91,0
3,26,1481.06,5800.00,0,5,-100.55,-49.51,24.32,1
3,27,1800.00,2075.72,3,8,-103.12,-25.94,37.28,1
3,28,4640.69,6600.00,2,102,-70.09,-2.48,47.79,0
3,29,5456.71,6200.00,2,102,-77.94,-10.21,42.99,0
3,30,1494.51,7800.00,0,7,-115.73,-39.56,28.35,0
3,31,1800.00,2024.39,3,83,-93.73,-22.91,52.68,0
3,32,7324.77,7400.00,0,109,-73.81,-1.75,37.43,0
3,33,8879.98,2600.00,2,76,-106.66,-36.50,36.01,0
3,34,7000.00,4807.04,3,98,-79.26,-23.42,57.89,0
3,35,3600.00,7720.87,1,29,-107.53,-56.20,36.26,0
3,36,7488.97,5200.00,2,98,-61.38,6.20,33.31,1
3,37,3472.43,4200.00,0,90,-69.69,-13.36,21.73,1
3,38,2800.00,7975.50,1,22,-85.54,-20.01,52.65,0
3,39,1171.79,7000.00,0,6,-103.28,-26.29,51.54,0
3,40,1444.27,5200.00,2,94,-74.59,-2.35,46.72,0
3,41,3081.91,3800.00,0,17,-108.77,-55.19,24.57,0
3,42,2295.99,7000.00,2,13,-109.87,-49.30,31.20,0
3,43,2388.66,4800.00,0,94,-48.26,11.15,56.60,0
3,44,3612.46,7800.00,2,29,-117.44,-49.59,56.26,0
3,45,7489.74,6800.00,2,66,-103.08,-31.11,33.08,0
3,46,6865.89,7000.00,2,109,-61.16,-3.38,40.23,0
3,47,1400.00,6108.32,1,5,-115.87,-45.75,32.50,0
3,48,8600.00,4116.68,3,78,-93.41,-20.34,24.99,0
3,49,5000.00,7071.75,3,43,-120.98,-45.28,38.47,0
3,50,8200.00,7687.37,1,110,-91.32,-26.92,26.21,0
3,51,3200.00,6969.32,1,106,-76.18,-13.87,50.80,0
3,52,3400.00,3539.00,1,90,-63.96,4.99,41.70,0
3,53,3400.00,4321.82,1,90,-70.09,-18.18,36.54,0
3,54,6600.00,3527.22,1,92,-60.14,7.99,38.17,0
3,55,3800.00,2327.85,1,23,-93.45,-29.94,38.35,0
