Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_rsrp_bs0,ue0_sinr_bs0,ue0_rsrp_bs1,ue0_sinr_bs1,ue0_rsrp_bs2,ue0_sinr_bs2,ue0_rsrp_bs3,ue0_sinr_bs3,ue0_rsrp_bs4,ue0_sinr_bs4,ue0_rsrp_bs5,ue0_sinr_bs5,ue0_rsrp_bs6,ue0_sinr_bs6
105,5326.50,5366.50,0,6,-75.38,5.99,90.00,0,-100.48,-26.07,-98.05,-23.63,-101.80,-27.39,-96.45,-22.02,-82.13,-6.93,-92.65,-18.19,-75.38,5.99
106,5326.75,5366.50,0,6,-77.44,3.76,90.00,0,-100.73,-24.80,-97.17,-21.22,-101.38,-25.45,-95.97,-20.00,-82.11,-5.00,-91.41,-15.36,-77.44,3.76
107,5327.00,5366.50,0,6,-77.27,3.84,90.00,0,-101.57,-25.79,-98.37,-22.58,-100.03,-24.25,-96.22,-20.42,-81.73,-4.69,-94.24,-18.40,-77.27,3.84
108,5327.25,5366.50,0,6,-79.34,3.76,90.00,0,-101.96,-24.13,-96.74,-18.87,-98.49,-20.64,-94.91,-17.01,-84.37,-5.48,-93.93,-16.01,-79.34,3.76
109,5327.50,5366.50,0,6,-79.59,3.31,90.00,0,-106.07,-28.14,-98.48,-20.52,-98.18,-20.21,-93.65,-15.61,-84.07,-4.94,-94.36,-16.33,-79.59,3.31
110,5327.75,5366.50,0,6,-79.23,3.85,90.00,0,-104.25,-26.51,-98.24,-20.47,-97.17,-19.39,-93.19,-15.33,-84.49,-5.73,-93.90,-16.06,-79.23,3.85
111,5328.00,5366.50,0,6,-80.07,2.82,90.00,0,-104.13,-25.88,-97.59,-19.30,-98.27,-19.99,-91.54,-13.09,-84.42,-4.98,-94.41,-16.06,-80.07,2.82
112,5328.25,5366.50,0,6,-79.76,3.73,90.00,0,-102.66,-24.42,-97.28,-19.00,-99.26,-21.01,-89.44,-10.87,-85.81,-6.75,-95.88,-17.58,-79.76,3.73
113,5328.50,5366.50,0,6,-78.14,2.87,90.00,0,-103.92,-27.58,-94.21,-17.81,-100.07,-23.72,-87.01,-10.29,-83.06,-5.69,-94.34,-17.93,-78.14,2.87
114,5328.75,5366.50,0,6,-75.90,5.48,90.00,0,-104.49,-29.67,-95.87,-21.03,-100.19,-25.36,-85.77,-10.59,-84.98,-9.73,-90.11,-15.16,-75.90,5.48
115,5329.00,5366.50,0,6,-75.04,5.40,90.00,0,-103.45,-29.50,-96.30,-22.33,-98.11,-24.15,-84.29,-9.93,-83.71,-9.28,-92.99,-18.99,-75.04,5.40
116,5329.25,5366.50,0,6,-75.83,3.47,90.00,0,-104.40,-30.18,-98.02,-23.79,-100.94,-26.72,-82.42,-7.49,-83.02,-8.20,-91.77,-17.48,-75.83,3.47
117,5329.50,5366.50,0,6,-77.87,1.62,90.00,0,-103.80,-28.20,-98.71,-23.09,-98.56,-22.94,-81.97,-5.24,-84.13,-7.88,-92.11,-16.42,-77.87,1.62
118,5329.75,5366.50,0,6,-79.85,-1.34,90.00,0,-103.14,-27.01,-98.42,-22.27,-98.38,-22.24,-80.44,-2.31,-84.01,-7.12,-91.94,-15.71,-79.85,-1.34
119,5330.00,5366.50,0,6,-78.37,1.24,90.00,0,-98.83,-22.87,-100.03,-24.07,-99.03,-23.07,-81.64,-4.34,-85.65,-9.22,-90.46,-14.36,-78.37,1.24
120,5330.25,5366.50,0,6,-78.94,0.85,90.00,0,-100.05,-23.69,-100.09,-23.73,-101.72,-25.37,-82.21,-4.57,-85.56,-8.67,-88.77,-12.18,-78.94,0.85
121,5330.50,5366.50,0,6,-81.16,0.60,90.00,0,-100.99,-22.52,-102.84,-24.38,-100.14,-21.67,-83.81,-3.88,-88.73,-9.85,-90.80,-12.09,-81.16,0.60
122,5330.75,5366.50,0,6,-78.76,3.16,90.00,0,-98.71,-21.63,-101.22,-24.15,-102.33,-25.26,-84.24,-6.26,-88.35,-10.96,-90.87,-13.63,-78.76,3.16
123,5331.00,5366.50,0,6,-80.79,0.49,90.00,0,-97.31,-19.24,-99.75,-21.70,-101.02,-22.98,-83.16,-3.55,-88.71,-10.30,-91.02,-12.78,-80.79,0.49
